cve_id,vendor
CVE-2005-3678,emc
CVE-2005-3662,sun
CVE-2005-3659,emc
CVE-2005-3658,emc
CVE-2005-3656,guiseppe_tanzilli_and_matthias_eckermann
CVE-2005-3653,ca
CVE-2005-3650,first4internet_xcp_drm
CVE-2005-3646,phpadsnew
CVE-2005-3646,phppgads
CVE-2005-3645,phpadsnew
CVE-2005-3645,phppgads
CVE-2005-3644,microsoft
CVE-2005-3640,floosietek
CVE-2005-3631,redhat
CVE-2005-3626,easy_software_products
CVE-2005-3626,kde
CVE-2005-3626,libextractor
CVE-2005-3626,poppler
CVE-2005-3626,sgi
CVE-2005-3626,tetex
CVE-2005-3626,xpdf
CVE-2005-3626,conectiva
CVE-2005-3626,debian
CVE-2005-3626,gentoo
CVE-2005-3626,mandrakesoft
CVE-2005-3626,redhat
CVE-2005-3626,sco
CVE-2005-3626,slackware
CVE-2005-3626,suse
CVE-2005-3626,trustix
CVE-2005-3626,turbolinux
CVE-2005-3626,ubuntu
CVE-2005-3625,easy_software_products
CVE-2005-3625,kde
CVE-2005-3625,libextractor
CVE-2005-3625,poppler
CVE-2005-3625,sgi
CVE-2005-3625,tetex
CVE-2005-3625,xpdf
CVE-2005-3625,conectiva
CVE-2005-3625,debian
CVE-2005-3625,gentoo
CVE-2005-3625,mandrakesoft
CVE-2005-3625,redhat
CVE-2005-3625,sco
CVE-2005-3625,slackware
CVE-2005-3625,suse
CVE-2005-3625,trustix
CVE-2005-3625,turbolinux
CVE-2005-3625,ubuntu
CVE-2005-3624,easy_software_products
CVE-2005-3624,kde
CVE-2005-3624,libextractor
CVE-2005-3624,poppler
CVE-2005-3624,sgi
CVE-2005-3624,tetex
CVE-2005-3624,xpdf
CVE-2005-3624,conectiva
CVE-2005-3624,debian
CVE-2005-3624,gentoo
CVE-2005-3624,mandrakesoft
CVE-2005-3624,redhat
CVE-2005-3624,sco
CVE-2005-3624,slackware
CVE-2005-3624,suse
CVE-2005-3624,trustix
CVE-2005-3624,turbolinux
CVE-2005-3624,ubuntu
CVE-2005-3623,linux
CVE-2005-3591,macromedia
CVE-2005-3590,gnu
CVE-2005-3571,codegrrl
CVE-2005-3570,horde
CVE-2005-3567,ibm
CVE-2005-3554,phpkit
CVE-2005-3553,phpkit
CVE-2005-3552,phpkit
CVE-2005-3548,invision_power_services
CVE-2005-3543,phorum
CVE-2005-3534,wouter_verhelst
CVE-2005-3529,tiki
CVE-2005-3528,tiki
CVE-2005-3511,spymac
CVE-2005-3501,clamav
CVE-2005-3498,ibm
CVE-2005-3497,phphandicapper
CVE-2005-3496,php_handicapper
CVE-2005-3485,glider
CVE-2005-3483,graphon
CVE-2005-3467,serv-u
CVE-2005-3398,sun
CVE-2005-3365,codeworx_technologies
CVE-2005-3357,apache
CVE-2005-3355,gnu
CVE-2005-3354,sylpheed
CVE-2005-3349,gnu
CVE-2005-3348,phpsysinfo
CVE-2005-3347,phpgroupware
CVE-2005-3330,snoopy
CVE-2005-3325,acid
CVE-2005-3325,secureideas
CVE-2005-3317,zipgenius
CVE-2005-3314,novell
CVE-2005-3294,typsoft
CVE-2005-3283,tiki
CVE-2005-3273,linux
CVE-2005-3269,sun
CVE-2005-3267,skype_technologies
CVE-2005-3265,skype_technologies
CVE-2005-3257,linux
CVE-2005-3240,microsoft
CVE-2005-3205,oracle
CVE-2005-3193,xpdf
CVE-2005-3192,xpdf
CVE-2005-3191,xpdf
CVE-2005-3185,curl
CVE-2005-3185,libcurl
CVE-2005-3185,wget
CVE-2005-3183,w3c
CVE-2005-3181,linux
CVE-2005-3179,linux
CVE-2005-3164,apache
CVE-2005-3164,apache_software_foundation
CVE-2005-3164,hitachi
CVE-2005-3154,softwin
CVE-2005-3126,antiword
CVE-2005-3119,linux
CVE-2005-3109,linux
CVE-2005-3088,fetchmail
CVE-2005-3065,multitheftauto
CVE-2005-3058,fortinet
CVE-2005-3056,mutt
CVE-2005-3055,linux
CVE-2005-3055,debian
CVE-2005-3051,igor_pavlov
CVE-2005-3047,phpmyfaq
CVE-2005-3046,phpmyfaq
CVE-2005-3011,gnu
CVE-2005-2983,oracle
CVE-2005-2981,orionserver
CVE-2005-2976,gnome
CVE-2005-2976,gtk
CVE-2005-2975,gnome
CVE-2005-2975,gtk
CVE-2005-2972,abisource
CVE-2005-2959,todd_miller
CVE-2005-2946,openssl
CVE-2005-2938,apple
CVE-2005-2936,realnetworks
CVE-2005-2932,checkpoint
CVE-2005-2930,jed_wing
CVE-2005-2929,university_of_kansas
CVE-2005-2923,ipswitch
CVE-2005-2922,realnetworks
CVE-2005-2919,clam_anti-virus
CVE-2005-2856,winace
CVE-2005-2819,eric_fichot
CVE-2005-2818,eric_fichot
CVE-2005-2806,trevor_hogan
CVE-2005-2800,linux
CVE-2005-2754,apple
CVE-2005-2753,apple
CVE-2005-2752,apple
CVE-2005-2741,apple
CVE-2005-2741,perry_kiehtreiber
CVE-2005-2714,apple
CVE-2005-2709,linux
CVE-2005-2708,linux
CVE-2005-2703,mozilla
CVE-2005-2666,openbsd
CVE-2005-2619,autonomy
CVE-2005-2619,ibm
CVE-2005-2618,autonomy
CVE-2005-2618,ibm
CVE-2005-2555,debian
CVE-2005-2555,linux
CVE-2005-2548,linux
CVE-2005-2527,sun
CVE-2005-2495,xfree86_project
CVE-2005-2492,canonical
CVE-2005-2492,redhat
CVE-2005-2492,linux
CVE-2005-2459,linux
CVE-2005-2459,debian
CVE-2005-2454,ibm
CVE-2005-2378,oracle
CVE-2005-2371,oracle
CVE-2005-2370,ekg
CVE-2005-2370,rob_flynn
CVE-2005-2368,vim_development_group
CVE-2005-2352,gs-gpl_project
CVE-2005-2351,mutt
CVE-2005-2351,debian
CVE-2005-2350,websieve_project
CVE-2005-2349,zoo_project
CVE-2005-2344,rim
CVE-2005-2341,rim
CVE-2005-2340,apple
CVE-2005-2335,fetchmail
CVE-2005-2310,nullsoft
