cve_id,	mod_date,	pub_date,
CVE-2005-2352,	06/11/2019 21:44,	01/11/2019 21:15,
CVE-2005-3056,	05/11/2019 14:33,	01/11/2019 13:15,
CVE-2005-2350,	04/11/2019 21:06,	01/11/2019 18:15,
CVE-2005-2351,	01/11/2019 19:22,	01/11/2019 19:15,
CVE-2002-2444,	01/11/2019 14:15,	28/10/2019 14:15,
CVE-2005-2349,	01/11/2019 14:15,	28/10/2019 14:15,
CVE-2002-2439,	31/10/2019 02:39,	23/10/2019 18:15,
CVE-2005-2035,	10/10/2019 11:19,	16/06/2005 04:00,
CVE-2005-2036,	10/10/2019 11:19,	16/06/2005 04:00,
CVE-2003-0497,	10/10/2019 11:17,	07/08/2003 04:00,
CVE-2003-0498,	10/10/2019 11:17,	07/08/2003 04:00,
CVE-2003-1480,	07/10/2019 16:42,	31/12/2003 05:00,
